Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"Cancer prognostics - Uterine Corpus Endometrial Carcinoma (TCGA)"	"TAU score - Tissue"	"TAU score - Blood"	"TAU score - Brain"	"TAU score - Single Cell Type"	"TAU score - Single nuclei brain"	"Tissue RNA - endometrium 1 [nTPM]"
ARHGAP29	PARG1	ENSG00000137962	"Rho GTPase activating protein 29"	Q52LW3	1	94148988-94275068	"Predicted intracellular proteins"		"GTPase activation"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (5.04e-3)"	0.33	0.92	0.34	0.49	0.55	7.1
ARHGAP30	FLJ00267	ENSG00000186517	"Rho GTPase activating protein 30"	Q7Z6I6	1	161046946-161069970	"Predicted intracellular proteins"		"GTPase activation"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (6.78e-2)"	0.58	0.19	0.21	0.72	0.87	2.8
ARHGAP31	CDGAP	ENSG00000031081	"Rho GTPase activating protein 31"	Q2M1Z3	3	119294383-119420714	"Disease related genes, Human disease related genes, Predicted intracellular proteins"		"GTPase activation"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (5.66e-3)"	0.41	0.68	0.07	0.73	0.59	6.1
ARHGAP32	"GC-GAP, GRIT, KIAA0712, MGC1892, RICS"	ENSG00000134909	"Rho GTPase activating protein 32"	A7KAX9	11	128965060-129279324	"Cancer-related genes, Predicted intracellular proteins"		"GTPase activation"	"Cancer-related genes"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (2.17e-1)"	0.37	"Not detected"	0.18	0.51	0.12	7.0
ARHGAP33	"FLJ39019, SNX26, TCGAP"	ENSG00000004777	"Rho GTPase activating protein 33"	O14559	19	35774532-35788822	"Predicted intracellular proteins"	"Protein transport, Transport"	"GTPase activation"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (1.78e-2)"	0.40	"Not detected"	0.15	0.65	0.22	9.7
ARHGAP35	"GRF-1, GRLF1, KIAA1722, P190A, p190ARhoGAP, p190RhoGAP"	ENSG00000160007	"Rho GTPase activating protein 35"	Q9NRY4	19	46860997-47005077	"Cancer-related genes, Predicted intracellular proteins"	"Transcription, Transcription regulation"	"DNA-binding, GTPase activation, Repressor"	"Cancer-related genes"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (1.47e-1)"	0.26	"Not detected"	0.05	0.52	0.21	12.4
ARHGAP39	"CrGAP, KIAA1688, Vilse"	ENSG00000147799	"Rho GTPase activating protein 39"	Q9C0H5	8	144529179-144685846	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (1.22e-1)"	0.59	"Not detected"	0.07	0.68	0.34	2.7
ARHGAP4	"C1, KIAA0131, p115, RhoGAP4, SrGAP4"	ENSG00000089820	"Rho GTPase activating protein 4"	P98171	X	153907367-153934999	"Predicted intracellular proteins"		"GTPase activation"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (1.99e-1)"	0.51	0.24	0.24	0.67	0.74	8.9
ARHGAP42	"AD031, FLJ32810, GRAF3, TMEM133"	ENSG00000165895	"Rho GTPase activating protein 42"	A6NI28	11	100687288-100993941	"Predicted intracellular proteins, Predicted membrane proteins"		"GTPase activation"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (6.82e-3)"	0.52	"Not detected"	0.10	0.62	0.57	5.6
ARHGAP44	"KIAA0672, RICH-2, RICH2"	ENSG00000006740	"Rho GTPase activating protein 44"	Q17R89	17	12789498-12991643	"Predicted intracellular proteins"	Exocytosis	"GTPase activation"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (5.28e-2)"	0.53	"Not detected"	0.14	0.67	0.20	2.8
ARHGAP45	"HA-1, HMHA1, KIAA0223"	ENSG00000180448	"Rho GTPase activating protein 45"	Q92619	19	1065923-1086628	"Plasma proteins, Predicted intracellular proteins"		"GTPase activation"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (2.59e-1)"	0.60	0.21	0.16	0.59	0.90	3.4
ARHGAP5	"GFI2, p190-B, p190BRhoGAP, RhoGAP5"	ENSG00000100852	"Rho GTPase activating protein 5"	Q13017	14	32076114-32159728	"Plasma proteins, Predicted intracellular proteins"		"GTPase activation"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (1.21e-1)"	0.19	0.38	0.06	0.30	0.21	27.2
ARHGAP6	rhoGAPX-1	ENSG00000047648	"Rho GTPase activating protein 6"	O43182	X	11117651-11665920	"Plasma proteins, Predicted intracellular proteins"		"GTPase activation"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"		0.47	"Not detected"	0.28	0.70	0.37	10.1
ARHGAP8	"BPGAP1, FLJ20185"	ENSG00000241484	"Rho GTPase activating protein 8"	P85298	22	44752558-44862788	"Predicted intracellular proteins"		"GTPase activation"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (5.04e-1)"	0.55	"Not detected"	0.42	0.72	0.65	1.7
ARHGAP9	"10C, MGC1295"	ENSG00000123329	"Rho GTPase activating protein 9"	Q9BRR9	12	57472264-57488814	"Predicted intracellular proteins"		"GTPase activation"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (2.28e-1)"	0.62	0.31	0.18	0.79	0.73	3.3
ARHGDIA	"GDIA1, RHOGDI"	ENSG00000141522	"Rho GDP dissociation inhibitor alpha"	P52565	17	81867721-81871378	"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins"		"GTPase activation"	"Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (3.03e-1)"	0.12	0.16	0.06	0.24	0.24	214.6
ARHGDIB	"GDIA2, GDID4, Ly-GDI, RAP1GN1, RhoGDI2"	ENSG00000111348	"Rho GDP dissociation inhibitor beta"	P52566	12	14942031-14961728	"Plasma proteins, Predicted intracellular proteins"		"GTPase activation"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (3.85e-1)"	0.39	0.12	0.17	0.54	0.84	65.7
ARHGEF1	"LBCL2, P115-RHOGEF, SUB1.5"	ENSG00000076928	"Rho guanine nucleotide exchange factor 1"	Q92888	19	41883173-41930150	"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins"		"GTPase activation, Guanine-nucleotide releasing factor"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (4.24e-2)"	0.37	0.17	0.10	0.45	0.44	32.3
ARHGEF10	"Gef10, KIAA0294"	ENSG00000104728	"Rho guanine nucleotide exchange factor 10"	O15013	8	1823926-1958641	"Disease related genes, Predicted intracellular proteins"		"Guanine-nucleotide releasing factor"	"Disease variant"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (7.53e-2)"	0.36	"Not detected"	0.15	0.63	0.37	18.0
ARHGEF10L	"FLJ10521, KIAA1626"	ENSG00000074964	"Rho guanine nucleotide exchange factor 10 like"	Q9HCE6	1	17539698-17697874	"Predicted intracellular proteins"		"Guanine-nucleotide releasing factor"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (2.92e-1)"	0.36	0.81	0.20	0.51	0.35	15.7
ARHGEF11	"GTRAP48, KIAA0380, PDZ-RHOGEF"	ENSG00000132694	"Rho guanine nucleotide exchange factor 11"	O15085	1	156934840-157045742	"Predicted intracellular proteins"		"GTPase activation, Guanine-nucleotide releasing factor"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (2.33e-1)"	0.25	"Not detected"	0.10	0.51	0.18	11.6
ARHGEF12	"KIAA0382, LARG"	ENSG00000196914	"Rho guanine nucleotide exchange factor 12"	Q9NZN5	11	120336413-120489937	"Cancer-related genes, Disease related genes, Predicted intracellular proteins"		"GTPase activation, Guanine-nucleotide releasing factor"	"Cancer-related genes, Proto-oncogene"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (7.87e-2)"	0.19	"Not detected"	0.07	0.33	0.17	27.0
ARHGEF15	"ARGEF15, FLJ13791, KIAA0915, MGC44868, Vsm-RhoGEF"	ENSG00000198844	"Rho guanine nucleotide exchange factor 15"	O94989	17	8310241-8322514	"Predicted intracellular proteins"		"GTPase activation, Guanine-nucleotide releasing factor"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (5.76e-2)"	0.49	"Not detected"	0.18	0.90	0.92	10.6
ARHGEF16	"GEF16, NBR"	ENSG00000130762	"Rho guanine nucleotide exchange factor 16"	Q5VV41	1	3454665-3481113	"Predicted intracellular proteins"		"Guanine-nucleotide releasing factor"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (4.91e-2)"	0.55	"Not detected"	0.29	0.65	0.74	1.1
ARHGEF17	"KIAA0337, p164-RhoGEF, TEM4"	ENSG00000110237	"Rho guanine nucleotide exchange factor 17"	Q96PE2	11	73308276-73369388	"Predicted intracellular proteins"		"Guanine-nucleotide releasing factor"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (1.64e-1)"	0.21	"Not detected"	0.08	0.61	0.37	38.6
ARHGEF18	"KIAA0521, MGC15913, P114-RhoGEF, p114RhoGEF"	ENSG00000104880	"Rho/Rac guanine nucleotide exchange factor 18"	Q6ZSZ5	19	7348937-7472485	"Disease related genes, Human disease related genes, Predicted intracellular proteins"		"Guanine-nucleotide releasing factor"	"Disease variant, Retinitis pigmentosa"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (2.29e-2)"	0.31	0.45	0.08	0.46	0.31	16.2
ARHGEF19	"FLJ33962, WGEF"	ENSG00000142632	"Rho guanine nucleotide exchange factor 19"	Q8IW93	1	16197854-16212652	"Predicted intracellular proteins"		"GTPase activation, Guanine-nucleotide releasing factor"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (2.60e-3)"	0.54	"Not detected"	0.19	0.49	0.78	5.8
ARHGEF2	"GEF-H1, GEFH1, KIAA0651, Lfc, LFP40, P40"	ENSG00000116584	"Rho/Rac guanine nucleotide exchange factor 2"	Q92974	1	155946851-156007070	"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins"	"Cell cycle, Cell division, Differentiation, Immunity, Innate immunity, Mitosis, Neurogenesis"	"Developmental protein, Guanine-nucleotide releasing factor"	"Intellectual disability"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (1.36e-1)"	0.29	0.22	0.13	0.41	0.34	35.8
ARHGEF25	"GEFT, p63RhoGEF"	ENSG00000240771	"Rho guanine nucleotide exchange factor 25"	Q86VW2	12	57610180-57617245	"Predicted intracellular proteins"		"Guanine-nucleotide releasing factor"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (1.03e-2)"	0.36	"Not detected"	0.25	0.89	0.71	89.7
ARHGEF26	"DKFZP434D146, SGEF"	ENSG00000114790	"Rho guanine nucleotide exchange factor 26"	Q96DR7	3	154121003-154257827	"Predicted intracellular proteins"		"Guanine-nucleotide releasing factor"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"		0.43	"Not detected"	0.08	0.64	0.51	4.2
ARHGEF28	"p190RhoGEF, RGNEF, RIP2"	ENSG00000214944	"Rho guanine nucleotide exchange factor 28"	Q8N1W1	5	73626158-73941993	"Predicted intracellular proteins"	Differentiation	"Guanine-nucleotide releasing factor, RNA-binding"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (2.21e-1)"	0.50	"Not detected"	0.19	0.54	0.40	4.0
ARHGEF3	"DKFZP434F2429, GEF3, STA3, XPLN"	ENSG00000163947	"Rho guanine nucleotide exchange factor 3"	Q9NR81	3	56727418-57079329	"Predicted intracellular proteins"		"Guanine-nucleotide releasing factor"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (7.46e-3)"	0.27	0.25	0.19	0.49	0.27	36.8
ARHGEF33		ENSG00000214694	"Rho guanine nucleotide exchange factor 33"	A8MVX0	2	38889875-38975454	"Predicted intracellular proteins"		"Guanine-nucleotide releasing factor"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"		0.73	0.94	0.35	0.86	0.46	1.9
ARHGEF35	"ARHGEF5L, CTAGE4, FLJ43692"	ENSG00000213214	"Rho guanine nucleotide exchange factor 35"	A5YM69	7	144186083-144195879	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (3.47e-1)"	0.48	"Not detected"	0.51	0.57	0.94	2.3
ARHGEF37	FLJ41603	ENSG00000183111	"Rho guanine nucleotide exchange factor 37"	A1IGU5	5	149551947-149634968	"Predicted intracellular proteins"		"Guanine-nucleotide releasing factor"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"	"unprognostic (2.29e-1)"	0.40	0.84	0.13	0.55	0.44	7.1
ARHGEF39	"C9orf100, FLJ14642"	ENSG00000137135	"Rho guanine nucleotide exchange factor 39"	Q8N4T4	9	35658875-35675866	"Predicted intracellular proteins"		"Guanine-nucleotide releasing factor"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (9.66e-2)"	0.49	"Not detected"	0.39	0.79	0.75	2.4
ARHGEF4	"ASEF, ASEF1, KIAA1112, STM6"	ENSG00000136002	"Rho guanine nucleotide exchange factor 4"	Q9NR80	2	130836914-131047263	"Plasma proteins, Predicted intracellular proteins"		"Guanine-nucleotide releasing factor"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (6.30e-2)"	0.61	0.81	0.10	0.77	0.36	2.8
ARHGEF40	"FLJ10357, solo"	ENSG00000165801	"Rho guanine nucleotide exchange factor 40"	Q8TER5	14	21070273-21090248	"Predicted intracellular proteins"		"Guanine-nucleotide releasing factor"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (1.30e-1)"	0.35	0.91	0.09	0.46	0.51	18.2
ARHGEF5	"GEF5, P60, TIM, TIM1"	ENSG00000050327	"Rho guanine nucleotide exchange factor 5"	Q12774	7	144355288-144380632	"Predicted intracellular proteins"		"Guanine-nucleotide releasing factor"	Proto-oncogene	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (4.64e-2)"	0.49	0.74	0.38	0.59	0.82	3.3
ARHGEF6	"alpha-PIX, alphaPIX, Cool-2, Cool2, KIAA0006, MRX46"	ENSG00000129675	"Rac/Cdc42 guanine nucleotide exchange factor 6"	Q15052	X	136665547-136780932	"Cancer-related genes, Predicted intracellular proteins"		"Guanine-nucleotide releasing factor"	"Cancer-related genes"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (3.10e-2)"	0.38	0.37	0.07	0.67	0.42	12.5
ARHGEF7	"BETA-PIX, COOL1, DKFZp686C12170, DKFZp761K1021, KIAA0142, Nbla10314, P50, P50BP, P85, P85COOL1, P85SPR, PAK3, PIXB"	ENSG00000102606	"Rho guanine nucleotide exchange factor 7"	Q14155	13	111114559-111305737	"Predicted intracellular proteins"	Neurogenesis	"Guanine-nucleotide releasing factor"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (7.53e-2)"	0.19	0.39	0.06	0.43	0.12	28.7
ARHGEF9	"KIAA0424, PEM-2"	ENSG00000131089	"Cdc42 guanine nucleotide exchange factor 9"	O43307	X	63634967-63809274	"Disease related genes, Human disease related genes, Predicted intracellular proteins"		"Guanine-nucleotide releasing factor"	"Disease variant, Epilepsy"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (3.74e-1)"	0.46	0.48	0.13	0.52	0.15	9.0
ARID1A	"B120, BAF250, BAF250a, C10rf4, C1orf4, P270, SMARCF1"	ENSG00000117713	"AT-rich interaction domain 1A"	O14497	1	26693236-26782104	"Cancer-related genes, Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors"	"Neurogenesis, Transcription, Transcription regulation"	"Chromatin regulator, DNA-binding"	"Cancer-related genes, Intellectual disability"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (2.08e-1)"	0.24	0.36	0.12	0.18	0.17	19.8
ARID1B	"6A3-5, BAF250b, DAN15, ELD/OSA1, KIAA1235, p250R, SMARCF2"	ENSG00000049618	"AT-rich interaction domain 1B"	Q8NFD5	6	156776020-157210779	"Cancer-related genes, Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors"	"Neurogenesis, Transcription, Transcription regulation"	"Chromatin regulator, DNA-binding"	"Cancer-related genes, Intellectual disability"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (6.47e-2)"	0.20	0.39	0.08	0.29	0.07	16.5
ARID2	"BAF200, DKFZp686G052, FLJ30619, KIAA1557, SMARCF3"	ENSG00000189079	"AT-rich interaction domain 2"	Q68CP9	12	45729706-45908040	"Cancer-related genes, Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	"Chromatin regulator, DNA-binding"	"Cancer-related genes, Disease variant, Intellectual disability"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (1.72e-1)"	0.36	0.55	0.13	0.46	0.18	6.7
ARID3A	"BRIGHT, DRIL1"	ENSG00000116017	"AT-rich interaction domain 3A"	Q99856	19	925781-975939	"Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	DNA-binding		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (1.95e-1)"	0.61	0.71	0.19	0.63	0.45	2.1
ARID3B	"BDP, DRIL2"	ENSG00000179361	"AT-rich interaction domain 3B"	Q8IVW6	15	74541206-74598131	"Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	DNA-binding	"Tumor suppressor"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (1.13e-1)"	0.50	0.49	0.21	0.54	0.30	2.2
ARID4A	"RBBP1, RBP-1, RBP1"	ENSG00000032219	"AT-rich interaction domain 4A"	P29374	14	58298504-58373887	"Predicted intracellular proteins, Transcription factors"	"Differentiation, Spermatogenesis, Transcription, Transcription regulation"	"Chromatin regulator, DNA-binding"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (9.98e-2)"	0.37	0.30	0.10	0.18	0.08	9.2
ARID4B	"BCAA, BRCAA1, RBP1L1, SAP180"	ENSG00000054267	"AT-rich interaction domain 4B"	Q4LE39	1	235131634-235328219	"Metabolic proteins, Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	"Chromatin regulator, DNA-binding"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (1.22e-1)"	0.28	0.23	0.09	0.29	0.10	15.4
ARID5A	"MRF-1, RP11-363D14"	ENSG00000196843	"AT-rich interaction domain 5A"	Q03989	2	96536743-96552634	"Predicted intracellular proteins, Transcription factors"	"Immunity, Innate immunity, Transcription, Transcription regulation"	"Activator, DNA-binding, Repressor, RNA-binding"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (1.30e-2)"	0.36	0.27	0.20	0.46	0.68	24.4
ARID5B	"FLJ21150, MRF2"	ENSG00000150347	"AT-rich interaction domain 5B"	Q14865	10	61901684-62096944	"Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	"Activator, DNA-binding"	"Cancer-related genes"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (6.19e-2)"	0.37	0.46	0.13	0.39	0.25	37.8
ARIH1	"ARI, HARI, HHARI, UBCH7BP"	ENSG00000166233	"Ariadne RBR E3 ubiquitin protein ligase 1"	Q9Y4X5	15	72474330-72602987	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"	"Ubl conjugation pathway"	Transferase	"Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (2.02e-1)"	0.46	0.62	0.10	0.25	0.09	7.3
ARIH2	TRIAD1	ENSG00000177479	"Ariadne RBR E3 ubiquitin protein ligase 2"	O95376	3	48918821-48986382	"Enzymes, Predicted intracellular proteins"	"Ubl conjugation pathway"	Transferase		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (3.03e-2)"	0.30	0.12	0.08	0.29	0.14	23.7
ARL1	ARFL1	ENSG00000120805	"ADP ribosylation factor like GTPase 1"	P40616	12	101393116-101407772	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (1.85e-1)"	0.12	0.18	0.10	0.23	0.14	49.7
ARL10	ARL10A	ENSG00000175414	"ADP ribosylation factor like GTPase 10"	Q8N8L6	5	176365487-176401865	"Predicted intracellular proteins, Predicted membrane proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"	"unprognostic (1.12e-1)"	0.47	0.61	0.09	0.60	0.13	4.4
ARL13B	"ARL2L1, DKFZp761H079, JBTS8"	ENSG00000169379	"ADP ribosylation factor like GTPase 13B"	Q3SXY8	3	93980139-94055678	"Disease related genes, Human disease related genes, Predicted intracellular proteins"			"Ciliopathy, Disease variant, Joubert syndrome"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (4.58e-2)"	0.57	0.26	0.45	0.45	0.28	4.5
ARL14EP	"ARF7EP, C11orf46, FLJ38968"	ENSG00000152219	"ADP ribosylation factor like GTPase 14 effector protein"	Q8N8R7	11	30323104-30338223	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (2.15e-2)"	0.14	0.24	0.06	0.36	0.12	18.3
ARL15	"ARFRP2, FLJ20051"	ENSG00000185305	"ADP ribosylation factor like GTPase 15"	Q9NXU5	5	53883942-54310582	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (5.09e-2)"	0.26	0.48	0.15	0.64	0.27	15.4
ARL16		ENSG00000214087	"ADP ribosylation factor like GTPase 16"		17	81681187-81683797	"Predicted intracellular proteins"				"Evidence at transcript level"	"Evidence at transcript level"			"unprognostic (1.43e-1)"	0.20	0.17	0.08	0.24	0.12	24.4
ARL17A	"ARF1P2, ARL17P1"	ENSG00000185829	"ADP ribosylation factor like GTPase 17A"	Q8IVW1	17	46499780-46579695	"Predicted intracellular proteins"	"ER-Golgi transport, Protein transport, Transport"			"Evidence at protein level"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"unprognostic (3.45e-2)"	0.25	0.25	0.11	0.71	0.14	14.8
ARL17B	ARL17	ENSG00000228696	"ADP ribosylation factor like GTPase 17B"	Q8IVW1	17	46274784-46361766	"Predicted intracellular proteins"	"ER-Golgi transport, Protein transport, Transport"			"Evidence at protein level"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"unprognostic (1.48e-1)"	0.31	0.51	0.14	0.62	0.08	4.0
ARL2	ARFL2	ENSG00000213465	"ADP ribosylation factor like GTPase 2"	P36404	11	65014160-65022184	"Disease related genes, Predicted intracellular proteins"	"Cell cycle"		"Cataract, Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (5.57e-2)"	0.21	0.12	0.07	0.42	0.23	117.2
ARL2BP	"BART, BART1, RP66"	ENSG00000102931	"ADP ribosylation factor like GTPase 2 binding protein"	Q9Y2Y0	16	57245259-57253635	"Disease related genes, Human disease related genes, Predicted intracellular proteins"			"Ciliopathy, Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (3.20e-1)"	0.10	0.13	0.04	0.42	0.16	43.7
ARL3	ARFL3	ENSG00000138175	"ADP ribosylation factor like GTPase 3"	P36405	10	102673731-102714397	"Disease related genes, Human disease related genes, Predicted intracellular proteins"	"Cell cycle, Cell division, Protein transport, Transport"		"Ciliopathy, Disease variant, Joubert syndrome"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (4.12e-2)"	0.49	0.33	0.07	0.34	0.15	11.1
ARL4A	ARL4	ENSG00000122644	"ADP ribosylation factor like GTPase 4A"	P40617	7	12686856-12690958	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (3.09e-1)"	0.41	0.30	0.20	0.50	0.53	16.3
ARL4C	"ARL7, LAK"	ENSG00000188042	"ADP ribosylation factor like GTPase 4C"	P56559	2	234493041-234497081	"Predicted intracellular proteins"	Transport			"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (1.00e-1)"	0.43	0.30	0.24	0.56	0.46	5.6
ARL4D	ARF4L	ENSG00000175906	"ADP ribosylation factor like GTPase 4D"	P49703	17	43398993-43401137	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (2.08e-3)"	0.39	0.60	0.33	0.47	0.41	19.5
ARL5A	ARL5	ENSG00000162980	"ADP ribosylation factor like GTPase 5A"	Q9Y689	2	151788984-151828492	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (3.70e-2)"	0.20	0.53	0.05	0.33	0.31	13.7
ARL5B	ARL8	ENSG00000165997	"ADP ribosylation factor like GTPase 5B"	Q96KC2	10	18659431-18681639	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (2.21e-1)"	0.37	0.33	0.11	0.41	0.38	9.1
